node,Probability
0,0.07868852459016394
1,0.9880027938699207
2,0.0
3,0.0
4,0.7365465605989705
5,0.828819068255688
6,0.4147982062780269
7,0.3520140105078809
8,0.06486486486486487
9,0.8410981697171381
10,0.060714285714285714
11,0.06296296296296296
12,0.0851063829787234
13,0.3918918918918919
14,0.027874564459930314
15,0.04784162771514985
16,0.0
17,0.0
18,0.0
19,0.0
20,0.2440318302387268
21,0.02040816326530612
22,0.0
23,0.0
24,0.07608695652173914
25,0.05687203791469194
26,0.0
27,0.026755852842809364
28,0.06372549019607843
29,0.0
30,0.24525547445255474
31,0.04065040650406504
32,0.07608695652173914
33,0.8285976168652612
34,0.07902795613948434
35,0.0
36,0.0
37,0.0
38,0.0648854961832061
39,0.02857142857142857
41,0.32432432432432434
42,0.0
43,0.0
44,0.0
45,0.01509433962264151
46,0.0
47,0.0
48,0.0
49,0.0
