node,Received Rate
0,8.430579213506727
1,602.5
2,4.434320682774827
3,10.914746998338156
4,95.94644014032028
5,107.39665954906636
6,22.414380303748747
7,25.981390104944218
8,5.182725400663291
9,64.11675544273591
10,8.038009958112426
11,7.813170911029279
12,4.046592664615877
13,20.111692221341055
14,8.365465446678513
15,1220.4286777194416
16,13.064425174560204
17,12.623431889105063
18,10.498600621315454
19,9.889183225241398
20,29.269728070068723
21,5.541150012226448
22,2.893975948788177
23,9.88918318497248
24,4.125078649522984
25,5.931173172460872
26,11.79675168827295
27,6.6882595112258025
28,5.792594414926987
29,13.891287472246798
30,26.651067512610233
31,7.081218050154466
32,5.294141437352146
33,54.7663469467392
34,1264.6941742677727
35,13.64322879897225
36,12.67855608426526
37,12.678556076577417
38,7.538687448380991
39,5.98669392303347
41,25.288916907520477
42,12.575964896431515
43,12.62343188980092
44,9.949910383572991
45,7.7022507362169765
46,1.9682171808395075
47,4.351439574678554
48,7.702250603269975
49,10.335934825313942
